filme;Ano;Genero;Diretor;Atores
Persepolis;2007;Animation | Comedy | Drama | History;Vincent Paronnaud, Marjane Satrapi;Chiara Mastroianni, Catherine Deneuve, Danielle Darrieux
Trois couleurs - Rouge;1994;Drama;Krzysztof Kieslowski;Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan
Les Misérables;1933;Drama | History;Raymond Bernard;
Au revoir, les enfants;1987;Drama;Louis Malle;
La France;2007;Drama | Musical | Romance | War;Serge Bozon;Sylvie Testud, Pascal Greggory, Guillaume Verdier
L'Atalante;1934;Drama | Romance;;Michel Simon, Dita Parlo, Jean Dasté
La môme;2007;Biography | Drama | Music;Olivier Dahan;Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner, Jean-Paul Rouve, Gérard Depardieu
MR 73;2008;Crime | Drama;;Daniel Auteuil, Olivia Bonamy, Catherine Marchal, Francis Renaud
Manon Des Sources;;Drama | Romance;Claude Berri;Yves Montand, Daniel Auteuil, Emmanuelle Béart
Un Coeur en Hiver;1992;Drama | Romance | Music;Claude Sautet;Daniel Auteuil, Emmanuelle Béart, André Dussollier
Les Voleurs;1996;Crime | Drama | Romance;André Téchiné;Catherine Deneuve, Daniel Auteuil, Laurence Côte, Benoît Magimel
Caché;2005;;Michael Haneke;Daniel Auteuil, Juliette Binoche, Maurice Bénichou
Jean de Florette;1986;Historical drama;Claude Berri;Yves Montand, Gérard Depardieu, Daniel Auteuil
Le Ballon rouge;1956;Fantasy | Comedy | Drama;;
Casque d'or;1952;Drama | Romance;Jacques Becker;Simone Signoret, Serge Reggiani, Claude Dauphin
Les Misérables;1925;History | Drama;Henri Fescourt;
Napoléon;1927;History | Biography | Drama;Abel Gance;Albert Dieudonné, Edmond Van Daële, Alexandre Koubitzky, Antonin Artaud, Abel Gance
Le pornographe;2001;;;Jean-Pierre Leaud
Je rentre à la maison;2001;Comedy | Drama;Manoel de Oliveira;Michel Piccoli, Catherine Deneuve, John Malkovich
Les temps qui changent;2004;;André Téchiné;Catherine Deneuve, Gérard Depardieu, Gilbert Melki
Cyrano de Bergerac;1990;;Jean-Paul Rappeneau;Gerard Depardieu, Anne Brochet, Vincent Perez
Le promeneur du champ de Mars;2005;;Robert Guédiguian;Michel Bouquet
Toto le héros;1991;Drama;;Michel Bouquet
Les Misérables;1958;Drama;Jean-Paul Le Chanois;Jean Gabin, Bernard Blier, Fernand Ledoux
Nouvelle vague;1990;Drama;;Alain Delon
Un conte de Noël;2008;Comedy | Drama;Arnaud Desplechin;Catherine Deneuve, Jean-Paul Roussillon, Anne Consigny, Mathieu Amalric, Melvil Poupaud
Le Cercle rouge;1970;Crime | Drama | Thriller;Jean-Pierre Melville;Alain Delon, André Bourvil, Gian Maria Volonté, Yves Montand, André Ekyan, François Périer
Cavale;2002;Thriller | Crime | Drama;Lucas Belvaux;Lucas Belvaux, Catherine Frot, Dominique Blanc, Ornella Muti, Gilbert Melki
À bout de souffle;1960;Crime | Drama | Romance | Thriller;Jean-Luc Godard;Jean-Paul Belmondo, Jean Seberg
Stavisky...;1974;Crime | Drama;;Jean-Paul Belmondo
L'Emmerdeur;1973;Comedy;Edouard Molinaro;
Monte Cristo;1929;Adventure | History | Drama;Henri Fescourt;
Les Compères;1983;;Francis Veber;Pierre Richard, Gérard Depardieu
Les Fugitifs;1986;;Francis Veber;Pierre Richard,Gérard Depardieu
Le Dîner de cons;1998;Comedy;Francis Veber;Thierry Lhermitte, Jacques Villeret
Gazon Maudit;1995;Comedy;Josiane Balasko;Victoria Abril, Josiane Balasko, Alain Chabat
Le Retour de Martin Guerre;1982;Historical Drama;Daniel Vigne;Gérard Depardieu, Bernard-Pierre Donnadieu, Nathalie Baye
La Cage Aux Folles;1978;Comedy;Edouard Molinaro;Ugo Tognazzi, Michel Serrault, Claire Maurier
Delicatessen;1991;Comedy | Sci-Fi;;Pascal Benezech, Dominique Pinon, Marie-Laure Dougnac
Belle de Jour;1967;Drama;Luis Buñuel;Catherine Deneuve, Jean Sorel,  Michel Piccoli
La Belle et la Bête;1946;Drama | Fantasy;;Jean Marais, Josette Day, Mila Parély, Nane Germon, Michel Auclair, Raoul Marco, Marcel André
Jules et Jim;1961;Drama | Romance;;Jeanne Moreau, Oskar Werner, Henri Serre
Son frère;2003;Drama;Patrice Chéreau;
Diva;1981;Thriller | Drama | Music;Jean-Jacques Beineix;Frédéric Andréi, Roland Bertin, Richard Bohringer
Ma Vie en Rose;1997;Comedy Drama;;Michèle Laroque, Jean-Philippe Écoffey, Hélène Vincent, Georges du Fresne
Le Scaphandre et le papillon;2007;Biography | Drama;;
Monsieur Hire;;Drama, Crime, Thriller, Romance;Patrice Leconte;
La Femme Nikita;;Thriller, Action, Crime, Drama, Romance;Luc Besson;Anne Parillaud, Marc Duret, Patrick Fontana, Alain Lathière, Laura Chéron
Le Placard;;Commedy Drama;Francis Veber;Daniel Auteuil, Gérard Depardieu, Thierry Lhermitte, Michèle Laroque
La Reine Margot;;Historical drama;Patrice Chéreau;Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez, Virna Lisi, Dominique Blanc
Un condamné à mort s'est échappé;1956;Drama | War;Robert Bresson;François Leterrier
37°2 le matin;1986;romance | drama;Jean-Jacques Beineix;Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon
17 fois Cécile Cassard;2002;Drama;;Béatrice Dalle, Romain Duris, Jeanne Balibar
Le Grand Bleu;1988;romance | drama;Luc Besson;Rosanna Arquette, Jean-Marc Barr, Jean Reno
Le Charme discret de la bourgeoisie;1972;Comedy | Drama | Fantasy;Luis Buñuel;Fernando Rey, Paul Frankeur, Delphine Seyrig, Bulle Ogier, Stéphane Audran, Jean-Pierre Cassel, Julien Bertheau, Milena Vukotic, Maria Gabriella Maione, Claude Piéplu, Muni, Pierre Maguelon, François Maistre, Michel Piccoli
